,n_estimators,lr,max_features,max_depth,train acc,test acc,R2 score
398,450.0,0.1,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
399,450.0,0.1,18.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
418,450.0,0.125,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
419,450.0,0.125,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
422,450.0,0.125,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
424,450.0,0.125,18.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
429,450.0,0.15,5.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
443,450.0,0.15,15.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
444,450.0,0.15,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
447,450.0,0.15,18.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
448,450.0,0.15,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
449,450.0,0.15,18.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
453,450.0,0.175,5.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
454,450.0,0.175,5.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
458,450.0,0.175,7.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
463,450.0,0.175,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
467,450.0,0.175,15.0,5.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
469,450.0,0.175,15.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
473,450.0,0.175,18.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
479,450.0,0.2,5.0,10.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
488,450.0,0.2,10.0,7.0,0.9269662921348315,0.8379888268156425,0.6906417112299466
